orderid,customerid,orderplaceddatetime,ordercompletiondatetime,orderstatus
184,1,2002-05-03 01:28:28,2002-05-03 01:28:28,Cancelled
185,6,2003-08-18 04:37:41,2003-08-18 04:37:41,Completed
186,9,1980-01-25 11:03:58,1980-01-25 11:03:58,InProgress
187,10,2003-04-11 16:58:28,2003-04-11 16:58:28,Completed
188,4,1989-02-15 02:25:40,1989-02-15 02:25:40,Completed
189,7,1981-03-17 12:54:39,1981-03-17 12:54:39,Cancelled
190,10,2003-05-02 01:18:52,2003-05-02 01:18:52,Cancelled
191,2,2003-11-30 15:08:13,2003-11-30 15:08:13,Cancelled
192,8,1989-02-01 11:11:34,1989-02-01 11:11:34,Cancelled
193,7,1996-07-31 02:48:56,1996-07-31 02:48:56,Completed
194,3,1998-03-15 00:39:09,1998-03-15 00:39:09,Cancelled
195,2,2016-11-07 17:03:51,2016-11-07 17:03:51,Completed
196,8,1982-05-10 06:12:36,1982-05-10 06:12:36,Completed
197,7,1984-12-25 07:15:31,1984-12-25 07:15:31,Cancelled
198,4,1991-02-03 23:53:23,1991-02-03 23:53:23,Completed
199,9,1980-03-28 00:13:30,1980-03-28 00:13:30,InProgress
200,4,2003-08-23 05:04:29,2003-08-23 05:04:29,Cancelled
201,8,2011-05-26 12:27:44,2011-05-26 12:27:44,InProgress
202,5,1986-06-02 21:15:35,1986-06-02 21:15:35,Completed
203,8,1995-05-25 15:59:56,1995-05-25 15:59:56,Completed
204,8,2017-12-17 17:16:19,2017-12-17 17:16:19,InProgress
205,5,1994-01-30 15:58:56,1994-01-30 15:58:56,Cancelled
206,2,1973-12-01 22:42:39,1973-12-01 22:42:39,Cancelled
207,10,2020-12-07 19:47:12,2020-12-07 19:47:12,InProgress
208,9,2014-02-01 01:57:01,2014-02-01 01:57:01,Completed
209,4,2008-05-20 00:56:08,2008-05-20 00:56:08,InProgress
210,8,2017-07-11 04:18:16,2017-07-11 04:18:16,Cancelled
211,6,1996-05-21 07:33:57,1996-05-21 07:33:57,InProgress
212,10,2007-07-23 23:09:38,2007-07-23 23:09:38,InProgress
213,10,2018-06-05 12:22:15,2018-06-05 12:22:15,Cancelled
214,1,1981-06-25 07:43:28,1981-06-25 07:43:28,Completed
215,2,1996-02-16 21:32:01,1996-02-16 21:32:01,Completed
216,10,1970-11-02 15:16:41,1970-11-02 15:16:41,Cancelled
217,1,2005-08-11 11:27:46,2005-08-11 11:27:46,Cancelled
218,6,2019-09-15 21:20:11,2019-09-15 21:20:11,Cancelled
219,1,2000-08-04 03:52:53,2000-08-04 03:52:53,InProgress
220,5,2005-04-02 07:07:06,2005-04-02 07:07:06,Completed
221,5,1987-06-19 07:05:21,1987-06-19 07:05:21,Cancelled
222,8,2006-06-14 19:48:45,2006-06-14 19:48:45,Cancelled
223,5,1984-03-17 15:08:01,1984-03-17 15:08:01,Completed
224,2,1993-11-30 10:02:10,1993-11-30 10:02:10,InProgress
225,1,1990-03-21 12:02:31,1990-03-21 12:02:31,InProgress
226,10,2017-10-19 20:43:24,2017-10-19 20:43:24,Cancelled
227,4,2006-02-13 18:23:57,2006-02-13 18:23:57,Cancelled
228,9,1998-01-13 20:11:02,1998-01-13 20:11:02,Completed
229,10,2000-07-25 20:48:16,2000-07-25 20:48:16,Completed
230,1,2001-11-09 04:41:13,2001-11-09 04:41:13,Completed
231,6,1971-06-02 22:44:24,1971-06-02 22:44:24,Completed
232,1,1995-06-19 15:08:59,1995-06-19 15:08:59,Completed
233,10,1984-06-09 05:19:39,1984-06-09 05:19:39,Completed
234,5,1991-07-19 01:13:13,1991-07-19 01:13:13,Completed
235,6,2010-03-25 21:42:23,2010-03-25 21:42:23,Completed
236,7,1999-08-03 05:41:43,1999-08-03 05:41:43,Completed
237,10,1979-10-26 11:22:21,1979-10-26 11:22:21,Cancelled
238,7,1995-01-04 06:12:43,1995-01-04 06:12:43,Cancelled
239,8,1982-10-26 18:44:21,1982-10-26 18:44:21,Cancelled
240,8,2002-06-17 03:22:25,2002-06-17 03:22:25,Completed
241,1,1990-06-12 22:35:18,1990-06-12 22:35:18,InProgress
242,5,1990-12-20 06:44:52,1990-12-20 06:44:52,InProgress
243,6,1975-09-17 18:37:03,1975-09-17 18:37:03,Cancelled
244,3,1996-07-09 22:34:36,1996-07-09 22:34:36,Completed
245,6,1976-01-02 18:20:35,1976-01-02 18:20:35,Cancelled
246,8,1983-11-24 04:17:15,1983-11-24 04:17:15,Completed
247,2,1982-03-12 14:28:34,1982-03-12 14:28:34,Completed
248,9,2014-04-24 06:34:17,2014-04-24 06:34:17,Completed
249,2,1995-06-06 15:50:06,1995-06-06 15:50:06,InProgress
250,2,1970-04-12 10:10:04,1970-04-12 10:10:04,InProgress
251,7,2016-11-25 06:54:38,2016-11-25 06:54:38,Cancelled
252,10,1993-04-09 13:26:37,1993-04-09 13:26:37,Cancelled
253,4,1974-10-09 20:52:12,1974-10-09 20:52:12,InProgress
254,9,1976-09-29 06:37:57,1976-09-29 06:37:57,Cancelled
255,9,1996-02-19 11:51:44,1996-02-19 11:51:44,InProgress
256,5,2001-05-13 08:17:54,2001-05-13 08:17:54,Completed
257,7,2020-08-11 21:44:34,2020-08-11 21:44:34,InProgress
258,9,1982-03-25 17:08:39,1982-03-25 17:08:39,Completed
259,9,1973-12-28 01:13:15,1973-12-28 01:13:15,Cancelled
260,4,2002-02-24 23:30:03,2002-02-24 23:30:03,Cancelled
261,3,2003-01-01 04:35:51,2003-01-01 04:35:51,InProgress
262,9,1999-08-15 19:05:11,1999-08-15 19:05:11,Cancelled
263,1,2000-03-21 16:19:05,2000-03-21 16:19:05,Completed
264,10,1998-05-11 09:30:50,1998-05-11 09:30:50,Completed
265,6,2015-09-14 08:59:09,2015-09-14 08:59:09,Cancelled
266,8,2008-09-08 09:05:05,2008-09-08 09:05:05,Completed
267,2,1984-09-25 10:57:07,1984-09-25 10:57:07,InProgress
268,1,2018-01-12 19:45:42,2018-01-12 19:45:42,Cancelled
269,5,1991-03-13 03:08:07,1991-03-13 03:08:07,InProgress
270,1,2006-03-25 08:50:13,2006-03-25 08:50:13,Cancelled
271,5,1989-12-11 04:14:31,1989-12-11 04:14:31,InProgress
272,4,2000-05-02 17:15:21,2000-05-02 17:15:21,Completed
273,5,2019-12-24 16:29:58,2019-12-24 16:29:58,Completed
274,1,1973-08-06 01:36:27,1973-08-06 01:36:27,Cancelled
275,6,1988-11-02 07:34:02,1988-11-02 07:34:02,Completed
276,4,2010-12-18 04:45:31,2010-12-18 04:45:31,InProgress
277,4,2009-07-12 10:08:55,2009-07-12 10:08:55,InProgress
278,8,2007-12-18 17:02:15,2007-12-18 17:02:15,InProgress
279,4,2005-10-02 02:27:21,2005-10-02 02:27:21,InProgress
280,10,2004-02-19 13:15:35,2004-02-19 13:15:35,Cancelled
281,7,2018-11-18 11:12:44,2018-11-18 11:12:44,Cancelled
282,4,2013-04-24 05:43:02,2013-04-24 05:43:02,InProgress
283,10,1984-11-26 17:40:52,1984-11-26 17:40:52,Cancelled
284,5,1984-05-01 04:05:36,1984-05-01 04:05:36,Completed
285,6,1980-01-10 14:21:14,1980-01-10 14:21:14,Cancelled
286,6,1997-11-22 11:12:10,1997-11-22 11:12:10,Cancelled
287,9,1997-02-18 21:32:34,1997-02-18 21:32:34,Cancelled
288,10,1998-12-29 20:29:39,1998-12-29 20:29:39,Cancelled
289,9,2001-08-22 06:20:31,2001-08-22 06:20:31,Completed
290,9,2012-03-25 10:15:28,2012-03-25 10:15:28,Cancelled
291,7,2012-02-06 21:50:51,2012-02-06 21:50:51,Completed
292,7,2011-01-18 00:01:19,2011-01-18 00:01:19,InProgress
293,8,1990-12-30 20:48:49,1990-12-30 20:48:49,Cancelled
294,8,1989-05-29 16:23:45,1989-05-29 16:23:45,Cancelled
295,3,2011-06-11 16:55:58,2011-06-11 16:55:58,InProgress
296,8,2003-03-13 23:19:15,2003-03-13 23:19:15,InProgress
297,2,1991-05-16 05:04:44,1991-05-16 05:04:44,InProgress
298,7,1970-05-05 03:21:19,1970-05-05 03:21:19,Cancelled
299,10,2008-12-19 11:14:13,2008-12-19 11:14:13,Cancelled
300,5,2004-03-10 10:19:50,2004-03-10 10:19:50,Cancelled
301,10,1978-12-26 22:54:46,1978-12-26 22:54:46,Completed
302,7,1973-09-29 19:52:19,1973-09-29 19:52:19,Completed
303,4,2015-03-03 06:08:01,2015-03-03 06:08:01,Cancelled
304,5,1975-02-23 14:56:06,1975-02-23 14:56:06,Cancelled
305,1,2021-11-27 13:46:42,2021-11-27 13:46:42,Cancelled
306,4,1998-09-16 07:12:35,1998-09-16 07:12:35,InProgress
307,2,1982-02-01 07:25:34,1982-02-01 07:25:34,Cancelled
308,5,1981-01-16 01:43:31,1981-01-16 01:43:31,Cancelled
309,6,1974-03-14 11:05:45,1974-03-14 11:05:45,Completed
310,8,1991-04-20 11:59:54,1991-04-20 11:59:54,InProgress
311,8,1972-06-28 20:27:00,1972-06-28 20:27:00,InProgress
312,4,2008-11-13 21:19:43,2008-11-13 21:19:43,Completed
313,7,1995-12-11 10:10:20,1995-12-11 10:10:20,InProgress
314,2,2021-08-19 04:20:16,2021-08-19 04:20:16,Cancelled
315,8,2012-04-19 19:06:10,2012-04-19 19:06:10,Completed
316,5,1978-10-29 18:14:51,1978-10-29 18:14:51,Cancelled
317,1,2015-09-15 15:14:54,2015-09-15 15:14:54,Cancelled
318,2,1981-08-21 07:55:27,1981-08-21 07:55:27,Completed
319,6,1975-05-25 03:08:08,1975-05-25 03:08:08,InProgress
320,9,2015-01-15 17:00:07,2015-01-15 17:00:07,InProgress
321,8,1989-03-12 16:11:17,1989-03-12 16:11:17,Cancelled
322,6,2003-08-05 23:31:15,2003-08-05 23:31:15,Completed
323,8,1980-09-09 20:49:45,1980-09-09 20:49:45,Cancelled
324,1,1991-12-01 14:27:49,1991-12-01 14:27:49,Completed
325,6,1975-06-01 04:25:57,1975-06-01 04:25:57,InProgress
326,1,1975-06-11 08:53:01,1975-06-11 08:53:01,InProgress
327,5,2018-08-31 17:08:04,2018-08-31 17:08:04,InProgress
328,8,2018-07-23 08:56:38,2018-07-23 08:56:38,Cancelled
329,10,1994-07-07 04:20:39,1994-07-07 04:20:39,Cancelled
330,3,1971-08-02 19:40:26,1971-08-02 19:40:26,Cancelled
331,5,2014-06-22 14:16:31,2014-06-22 14:16:31,Completed
332,8,2013-11-12 23:20:09,2013-11-12 23:20:09,Completed
333,5,1984-08-31 01:33:41,1984-08-31 01:33:41,InProgress
334,9,2018-11-21 01:48:56,2018-11-21 01:48:56,Completed
335,1,2021-03-16 19:43:46,2021-03-16 19:43:46,InProgress
336,4,2011-07-13 17:51:08,2011-07-13 17:51:08,Cancelled
337,5,2017-07-27 15:44:24,2017-07-27 15:44:24,InProgress
338,2,1995-11-08 06:44:06,1995-11-08 06:44:06,Cancelled
339,10,1978-12-25 20:18:08,1978-12-25 20:18:08,Cancelled
340,3,2014-05-06 14:10:17,2014-05-06 14:10:17,InProgress
341,1,1976-09-06 09:04:30,1976-09-06 09:04:30,Completed
342,7,1971-05-17 00:45:31,1971-05-17 00:45:31,InProgress
343,3,2001-01-06 14:33:26,2001-01-06 14:33:26,Completed
344,3,2003-01-20 18:43:36,2003-01-20 18:43:36,Completed
345,7,1977-09-28 13:39:48,1977-09-28 13:39:48,Completed
346,2,1991-12-16 07:25:13,1991-12-16 07:25:13,InProgress
347,6,2011-11-22 17:02:45,2011-11-22 17:02:45,InProgress
348,7,2000-09-24 04:25:07,2000-09-24 04:25:07,Cancelled
349,5,2006-05-10 16:57:52,2006-05-10 16:57:52,InProgress
350,2,2015-02-21 04:23:43,2015-02-21 04:23:43,InProgress
351,7,1970-07-21 21:37:22,1970-07-21 21:37:22,InProgress
352,2,1996-02-25 13:11:52,1996-02-25 13:11:52,InProgress
353,1,1992-03-20 10:47:52,1992-03-20 10:47:52,InProgress
354,8,1995-05-14 15:51:26,1995-05-14 15:51:26,InProgress
355,3,1996-12-18 23:29:53,1996-12-18 23:29:53,InProgress
356,1,2002-12-02 22:45:54,2002-12-02 22:45:54,Completed
357,7,1990-12-02 16:35:08,1990-12-02 16:35:08,Cancelled
358,4,1972-11-06 12:10:56,1972-11-06 12:10:56,InProgress
359,5,1988-12-25 23:00:26,1988-12-25 23:00:26,Cancelled
360,7,1975-03-08 18:03:20,1975-03-08 18:03:20,Completed
361,2,2012-11-14 03:18:43,2012-11-14 03:18:43,InProgress
362,2,1973-02-19 17:08:37,1973-02-19 17:08:37,InProgress
363,4,2018-04-12 19:42:28,2018-04-12 19:42:28,Cancelled
364,3,2011-05-27 20:42:39,2011-05-27 20:42:39,Cancelled
365,3,2000-04-15 06:37:37,2000-04-15 06:37:37,InProgress
366,4,1979-06-16 12:30:22,1979-06-16 12:30:22,Cancelled
367,10,1997-11-29 16:22:44,1997-11-29 16:22:44,InProgress
368,7,1984-06-17 08:46:15,1984-06-17 08:46:15,Completed
369,5,1989-03-05 13:28:05,1989-03-05 13:28:05,Completed
370,5,2002-03-07 09:16:48,2002-03-07 09:16:48,InProgress
371,7,2002-01-10 09:40:23,2002-01-10 09:40:23,Completed
372,3,1989-01-17 10:30:45,1989-01-17 10:30:45,Cancelled
373,2,1992-11-22 18:11:18,1992-11-22 18:11:18,Cancelled
374,5,1981-04-07 17:17:29,1981-04-07 17:17:29,InProgress
375,3,2000-09-01 09:49:25,2000-09-01 09:49:25,Cancelled
376,5,1986-12-14 17:29:19,1986-12-14 17:29:19,InProgress
377,9,1996-09-18 19:54:00,1996-09-18 19:54:00,InProgress
378,1,1975-02-15 10:21:15,1975-02-15 10:21:15,Cancelled
379,5,1973-10-31 14:13:28,1973-10-31 14:13:28,Cancelled
380,7,1978-12-10 18:28:50,1978-12-10 18:28:50,Completed
381,8,2000-05-15 04:58:49,2000-05-15 04:58:49,InProgress
382,2,2008-05-05 11:51:57,2008-05-05 11:51:57,Completed
383,5,1982-06-06 07:32:53,1982-06-06 07:32:53,Cancelled
384,9,2004-02-29 05:28:40,2004-02-29 05:28:40,InProgress
385,4,2007-07-10 21:53:45,2007-07-10 21:53:45,Cancelled
386,7,1996-05-05 08:43:16,1996-05-05 08:43:16,Completed
387,8,2008-03-27 22:38:07,2008-03-27 22:38:07,Cancelled
388,4,2006-05-01 22:01:13,2006-05-01 22:01:13,Completed
389,3,2021-06-07 12:12:19,2021-06-07 12:12:19,Cancelled
390,10,2002-05-24 04:29:53,2002-05-24 04:29:53,Cancelled
391,2,1995-07-05 06:32:35,1995-07-05 06:32:35,Cancelled
392,2,1998-09-14 01:55:26,1998-09-14 01:55:26,InProgress
393,6,1979-01-10 19:53:33,1979-01-10 19:53:33,Cancelled
394,1,2020-08-27 00:19:34,2020-08-27 00:19:34,Completed
395,6,1999-02-20 13:17:57,1999-02-20 13:17:57,InProgress
396,2,2015-05-20 05:06:03,2015-05-20 05:06:03,InProgress
397,8,1995-06-11 17:44:00,1995-06-11 17:44:00,InProgress
